"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jordyn Tyson","NO","45.5","613.7","3.2","0.3","2.3","0.0","0.7","125.2"
"","high","61.0","783.0","4.0","1.0","7.0","0.0","0.4","178.3"
"","low","35.6","484.2","2.7","0.0","0.0","0.0","1.0","109.5"
"Adonai Mitchell","NYJ","39.7","549.3","3.3","2.1","5.1","0.1","0.7","113.9"
"","high","41.5","617.5","3.6","2.2","11.2","0.1","0.5","124.9"
"","low","38.0","481.0","3.0","2.0","-1.0","0.0","1.0","94.7"
"Malik Washington","MIA","45.6","414.2","2.4","13.5","80.8","0.7","0.8","112.1"
"","high","46.0","479.4","3.0","14.0","84.0","1.0","0.6","116.3"
"","low","45.2","349.0","1.8","12.9","77.7","0.4","1.0","97.6"
"Travis Hunter","JAC","41.6","496.6","3.3","2.0","10.8","0.1","0.4","111.8"
"","high","41.6","496.6","3.3","2.0","10.8","0.1","0.4","113.1"
"","low","41.6","496.6","3.3","2.0","10.8","0.1","0.4","113.1"
"Germie Bernard","PIT","41.2","507.7","2.9","2.1","10.8","0.0","0.7","109.2"
"","high","42.0","511.0","3.0","2.2","11.7","0.1","0.4","109.6"
"","low","40.4","504.4","2.8","2.0","10.0","0.0","1.0","101.2"
"Kayshon Boutte","NE","33.2","501.5","4.3","0.0","0.0","0.0","0.1","109.1"
"","high","36.0","589.0","6.0","0.0","0.0","0.0","0.0","119.2"
"","low","30.3","414.0","2.7","0.0","0.0","0.0","0.3","90.3"
"Dontayvion Wicks","PHI","39.5","517.8","2.9","0.0","0.0","0.0","0.4","107.9"
"","high","39.5","517.8","2.9","0.0","0.0","0.0","0.4","108.2"
"","low","39.5","517.8","2.9","0.0","0.0","0.0","0.4","108.2"
"Bub Means","NO","38.0","519.0","3.0","1.0","6.0","0.0","1.0","106.5"
"","high","38.0","519.0","3.0","1.0","6.0","0.0","1.0","98.0"
"","low","38.0","519.0","3.0","1.0","6.0","0.0","1.0","98.0"
